 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 510310 Cocalinho
Período:2014
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";224;214;438
"De 5 a 9 anos";236;225;461
"De 10 a 14 anos";244;241;485
"De 15 a 19 anos";254;208;462
"De 20 a 24 anos";233;228;461
"De 25 a 29 anos";227;202;429
"De 30 a 34 anos";239;225;464
"De 35 a 39 anos";259;246;505
"De 40 a 44 anos";211;208;419
"De 45 a 49 anos";213;169;382
"De 50 a 54 anos";179;143;322
"De 55 a 59 anos";145;121;266
"De 60 a 64 anos";110;99;209
"De 65 a 69 anos";92;53;145
"De 70 a 74 anos";67;36;103
"De 75 a 79 anos";34;23;57
"De 80 anos ou mais";29;17;46
"Total";2996;2658;5654
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

