 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 510510 Juara
Período:2012
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1453;1388;2841
"De 5 a 9 anos";1497;1461;2958
"De 10 a 14 anos";1515;1506;3021
"De 15 a 19 anos";1599;1516;3115
"De 20 a 24 anos";1567;1491;3058
"De 25 a 29 anos";1553;1453;3006
"De 30 a 34 anos";1465;1380;2845
"De 35 a 39 anos";1342;1282;2624
"De 40 a 44 anos";1254;1171;2425
"De 45 a 49 anos";1135;1074;2209
"De 50 a 54 anos";930;820;1750
"De 55 a 59 anos";695;582;1277
"De 60 a 64 anos";468;412;880
"De 65 a 69 anos";352;314;666
"De 70 a 74 anos";284;251;535
"De 75 a 79 anos";190;161;351
"De 80 anos ou mais";173;122;295
"Total";17472;16384;33856
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

