 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 510645 Planalto da Serra
Período:2009
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";150;139;289
"De 5 a 9 anos";122;135;257
"De 10 a 14 anos";117;143;260
"De 15 a 19 anos";128;126;254
"De 20 a 24 anos";107;114;221
"De 25 a 29 anos";119;104;223
"De 30 a 34 anos";105;113;218
"De 35 a 39 anos";109;110;219
"De 40 a 44 anos";102;87;189
"De 45 a 49 anos";88;71;159
"De 50 a 54 anos";82;61;143
"De 55 a 59 anos";64;51;115
"De 60 a 64 anos";52;40;92
"De 65 a 69 anos";38;20;58
"De 70 a 74 anos";31;21;52
"De 75 a 79 anos";17;10;27
"De 80 anos ou mais";17;13;30
"Total";1448;1358;2806
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

