 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 510665 Pontal do Araguaia
Período:2018
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";227;218;445
"De 5 a 9 anos";203;216;419
"De 10 a 14 anos";255;241;496
"De 15 a 19 anos";311;242;553
"De 20 a 24 anos";271;247;518
"De 25 a 29 anos";259;238;497
"De 30 a 34 anos";287;252;539
"De 35 a 39 anos";269;261;530
"De 40 a 44 anos";250;266;516
"De 45 a 49 anos";250;254;504
"De 50 a 54 anos";232;203;435
"De 55 a 59 anos";180;156;336
"De 60 a 64 anos";137;125;262
"De 65 a 69 anos";107;95;202
"De 70 a 74 anos";76;65;141
"De 75 a 79 anos";43;48;91
"De 80 anos ou mais";45;49;94
"Total";3402;3176;6578
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

