 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 510704 Primavera do Leste
Período:2004
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";2178;2116;4294
"De 5 a 9 anos";2358;2393;4751
"De 10 a 14 anos";2397;2369;4766
"De 15 a 19 anos";2429;2305;4734
"De 20 a 24 anos";2454;2386;4840
"De 25 a 29 anos";2356;2328;4684
"De 30 a 34 anos";2188;2047;4235
"De 35 a 39 anos";1903;1814;3717
"De 40 a 44 anos";1626;1480;3106
"De 45 a 49 anos";1246;1071;2317
"De 50 a 54 anos";860;737;1597
"De 55 a 59 anos";573;462;1035
"De 60 a 64 anos";367;335;702
"De 65 a 69 anos";272;245;517
"De 70 a 74 anos";140;136;276
"De 75 a 79 anos";89;91;180
"De 80 anos ou mais";51;70;121
"Total";23487;22385;45872
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

