 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 510774 Santa Cruz do Xingu
Período:2019
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";141;137;278
"De 5 a 9 anos";134;105;239
"De 10 a 14 anos";143;95;238
"De 15 a 19 anos";101;117;218
"De 20 a 24 anos";97;113;210
"De 25 a 29 anos";88;115;203
"De 30 a 34 anos";77;105;182
"De 35 a 39 anos";97;101;198
"De 40 a 44 anos";77;85;162
"De 45 a 49 anos";73;72;145
"De 50 a 54 anos";72;58;130
"De 55 a 59 anos";62;60;122
"De 60 a 64 anos";60;35;95
"De 65 a 69 anos";46;13;59
"De 70 a 74 anos";26;17;43
"De 75 a 79 anos";17;8;25
"De 80 anos ou mais";9;8;17
"Total";1320;1244;2564
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

