 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 510788 Serra Nova Dourada
Período:2018
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";72;69;141
"De 5 a 9 anos";58;65;123
"De 10 a 14 anos";49;55;104
"De 15 a 19 anos";65;48;113
"De 20 a 24 anos";68;63;131
"De 25 a 29 anos";69;62;131
"De 30 a 34 anos";86;62;148
"De 35 a 39 anos";79;61;140
"De 40 a 44 anos";72;61;133
"De 45 a 49 anos";71;51;122
"De 50 a 54 anos";67;32;99
"De 55 a 59 anos";44;26;70
"De 60 a 64 anos";28;20;48
"De 65 a 69 anos";24;18;42
"De 70 a 74 anos";20;16;36
"De 75 a 79 anos";13;8;21
"De 80 anos ou mais";15;5;20
"Total";900;722;1622
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

