 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 510840 Várzea Grande
Período:2000
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";12056;11725;23781
"De 5 a 9 anos";11867;11605;23472
"De 10 a 14 anos";12043;11915;23958
"De 15 a 19 anos";12172;12283;24455
"De 20 a 24 anos";11676;12027;23703
"De 25 a 29 anos";10119;10542;20661
"De 30 a 34 anos";9161;9337;18498
"De 35 a 39 anos";7837;8012;15849
"De 40 a 44 anos";6563;6577;13140
"De 45 a 49 anos";5009;4873;9882
"De 50 a 54 anos";3774;3683;7457
"De 55 a 59 anos";2699;2517;5216
"De 60 a 64 anos";1991;2031;4022
"De 65 a 69 anos";1399;1369;2768
"De 70 a 74 anos";954;934;1888
"De 75 a 79 anos";586;687;1273
"De 80 anos ou mais";480;587;1067
"Total";110386;110704;221090
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

