 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 520060 Alto Paraíso de Goiás
Período:2013
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";335;318;653
"De 5 a 9 anos";303;319;622
"De 10 a 14 anos";301;342;643
"De 15 a 19 anos";304;334;638
"De 20 a 24 anos";310;318;628
"De 25 a 29 anos";317;336;653
"De 30 a 34 anos";308;328;636
"De 35 a 39 anos";277;286;563
"De 40 a 44 anos";216;217;433
"De 45 a 49 anos";202;197;399
"De 50 a 54 anos";184;181;365
"De 55 a 59 anos";162;149;311
"De 60 a 64 anos";112;118;230
"De 65 a 69 anos";73;86;159
"De 70 a 74 anos";52;60;112
"De 75 a 79 anos";34;52;86
"De 80 anos ou mais";39;46;85
"Total";3529;3687;7216
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

