 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 520085 Americano do Brasil
Período:2014
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";194;176;370
"De 5 a 9 anos";219;169;388
"De 10 a 14 anos";222;223;445
"De 15 a 19 anos";231;242;473
"De 20 a 24 anos";236;219;455
"De 25 a 29 anos";267;235;502
"De 30 a 34 anos";247;224;471
"De 35 a 39 anos";253;237;490
"De 40 a 44 anos";228;197;425
"De 45 a 49 anos";208;187;395
"De 50 a 54 anos";171;173;344
"De 55 a 59 anos";147;133;280
"De 60 a 64 anos";129;151;280
"De 65 a 69 anos";91;80;171
"De 70 a 74 anos";74;57;131
"De 75 a 79 anos";54;48;102
"De 80 anos ou mais";63;49;112
"Total";3034;2800;5834
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

