 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 520150 Aporé
Período:2006
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";188;181;369
"De 5 a 9 anos";141;160;301
"De 10 a 14 anos";166;152;318
"De 15 a 19 anos";177;173;350
"De 20 a 24 anos";212;161;373
"De 25 a 29 anos";130;140;270
"De 30 a 34 anos";143;165;308
"De 35 a 39 anos";151;130;281
"De 40 a 44 anos";150;144;294
"De 45 a 49 anos";121;90;211
"De 50 a 54 anos";103;75;178
"De 55 a 59 anos";80;62;142
"De 60 a 64 anos";65;53;118
"De 65 a 69 anos";57;38;95
"De 70 a 74 anos";38;24;62
"De 75 a 79 anos";23;15;38
"De 80 anos ou mais";21;11;32
"Total";1966;1774;3740
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

