 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 520215 Araguapaz
Período:2019
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";276;265;541
"De 5 a 9 anos";266;255;521
"De 10 a 14 anos";238;219;457
"De 15 a 19 anos";243;218;461
"De 20 a 24 anos";272;252;524
"De 25 a 29 anos";283;274;557
"De 30 a 34 anos";280;316;596
"De 35 a 39 anos";307;332;639
"De 40 a 44 anos";304;311;615
"De 45 a 49 anos";288;327;615
"De 50 a 54 anos";279;283;562
"De 55 a 59 anos";228;219;447
"De 60 a 64 anos";190;176;366
"De 65 a 69 anos";160;150;310
"De 70 a 74 anos";124;108;232
"De 75 a 79 anos";86;76;162
"De 80 anos ou mais";84;81;165
"Total";3908;3862;7770
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

