 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 520860 Goianésia
Período:2019
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";2577;2466;5043
"De 5 a 9 anos";2591;2484;5075
"De 10 a 14 anos";2516;2354;4870
"De 15 a 19 anos";2566;2387;4953
"De 20 a 24 anos";2890;2731;5621
"De 25 a 29 anos";3145;2899;6044
"De 30 a 34 anos";3280;2979;6259
"De 35 a 39 anos";3103;2646;5749
"De 40 a 44 anos";2728;2578;5306
"De 45 a 49 anos";2396;2410;4806
"De 50 a 54 anos";2197;2212;4409
"De 55 a 59 anos";1766;1815;3581
"De 60 a 64 anos";1283;1396;2679
"De 65 a 69 anos";999;1085;2084
"De 70 a 74 anos";700;760;1460
"De 75 a 79 anos";478;535;1013
"De 80 anos ou mais";534;598;1132
"Total";35749;34335;70084
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

