 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 520945 Guarinos
Período:2017
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";51;48;99
"De 5 a 9 anos";54;49;103
"De 10 a 14 anos";58;46;104
"De 15 a 19 anos";56;49;105
"De 20 a 24 anos";55;59;114
"De 25 a 29 anos";58;56;114
"De 30 a 34 anos";59;63;122
"De 35 a 39 anos";73;69;142
"De 40 a 44 anos";74;66;140
"De 45 a 49 anos";89;76;165
"De 50 a 54 anos";103;75;178
"De 55 a 59 anos";82;66;148
"De 60 a 64 anos";64;52;116
"De 65 a 69 anos";52;37;89
"De 70 a 74 anos";45;34;79
"De 75 a 79 anos";33;18;51
"De 80 anos ou mais";28;15;43
"Total";1034;878;1912
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

