 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 521230 Leopoldo de Bulhões
Período:2015
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";307;294;601
"De 5 a 9 anos";270;297;567
"De 10 a 14 anos";309;321;630
"De 15 a 19 anos";322;304;626
"De 20 a 24 anos";315;323;638
"De 25 a 29 anos";341;301;642
"De 30 a 34 anos";316;313;629
"De 35 a 39 anos";336;340;676
"De 40 a 44 anos";316;291;607
"De 45 a 49 anos";295;295;590
"De 50 a 54 anos";264;214;478
"De 55 a 59 anos";220;194;414
"De 60 a 64 anos";158;165;323
"De 65 a 69 anos";113;107;220
"De 70 a 74 anos";77;94;171
"De 75 a 79 anos";54;61;115
"De 80 anos ou mais";57;63;120
"Total";4070;3977;8047
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

