 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 521308 Minaçu
Período:2004
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1430;1393;2823
"De 5 a 9 anos";1660;1626;3286
"De 10 a 14 anos";1660;1580;3240
"De 15 a 19 anos";1652;1628;3280
"De 20 a 24 anos";1622;1693;3315
"De 25 a 29 anos";1517;1563;3080
"De 30 a 34 anos";1351;1367;2718
"De 35 a 39 anos";1273;1250;2523
"De 40 a 44 anos";1137;1072;2209
"De 45 a 49 anos";969;888;1857
"De 50 a 54 anos";797;693;1490
"De 55 a 59 anos";617;521;1138
"De 60 a 64 anos";480;389;869
"De 65 a 69 anos";321;278;599
"De 70 a 74 anos";238;179;417
"De 75 a 79 anos";149;118;267
"De 80 anos ou mais";134;98;232
"Total";17007;16336;33343
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

