 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 521480 Nova Aurora
Período:2003
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";86;73;159
"De 5 a 9 anos";80;58;138
"De 10 a 14 anos";74;65;139
"De 15 a 19 anos";84;79;163
"De 20 a 24 anos";95;86;181
"De 25 a 29 anos";90;81;171
"De 30 a 34 anos";87;71;158
"De 35 a 39 anos";86;74;160
"De 40 a 44 anos";78;70;148
"De 45 a 49 anos";68;66;134
"De 50 a 54 anos";59;49;108
"De 55 a 59 anos";50;43;93
"De 60 a 64 anos";40;43;83
"De 65 a 69 anos";38;36;74
"De 70 a 74 anos";26;26;52
"De 75 a 79 anos";17;18;35
"De 80 anos ou mais";10;12;22
"Total";1068;950;2018
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

