 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 521483 Nova Crixás
Período:2016
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";504;483;987
"De 5 a 9 anos";462;460;922
"De 10 a 14 anos";459;432;891
"De 15 a 19 anos";477;485;962
"De 20 a 24 anos";528;487;1015
"De 25 a 29 anos";525;519;1044
"De 30 a 34 anos";552;532;1084
"De 35 a 39 anos";577;541;1118
"De 40 a 44 anos";498;455;953
"De 45 a 49 anos";438;428;866
"De 50 a 54 anos";398;368;766
"De 55 a 59 anos";314;282;596
"De 60 a 64 anos";266;229;495
"De 65 a 69 anos";189;157;346
"De 70 a 74 anos";161;111;272
"De 75 a 79 anos";97;77;174
"De 80 anos ou mais";81;61;142
"Total";6526;6107;12633
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

