 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 521710 Piracanjuba
Período:2006
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";867;820;1687
"De 5 a 9 anos";962;907;1869
"De 10 a 14 anos";1003;939;1942
"De 15 a 19 anos";968;913;1881
"De 20 a 24 anos";1058;955;2013
"De 25 a 29 anos";1014;1014;2028
"De 30 a 34 anos";977;965;1942
"De 35 a 39 anos";938;930;1868
"De 40 a 44 anos";895;883;1778
"De 45 a 49 anos";810;778;1588
"De 50 a 54 anos";700;689;1389
"De 55 a 59 anos";636;546;1182
"De 60 a 64 anos";505;469;974
"De 65 a 69 anos";421;394;815
"De 70 a 74 anos";317;303;620
"De 75 a 79 anos";197;226;423
"De 80 anos ou mais";179;186;365
"Total";12447;11917;24364
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

