 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 521760 Planaltina
Período:2005
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";4190;4024;8214
"De 5 a 9 anos";5225;4960;10185
"De 10 a 14 anos";4466;4490;8956
"De 15 a 19 anos";4058;4062;8120
"De 20 a 24 anos";3920;4095;8015
"De 25 a 29 anos";3591;4024;7615
"De 30 a 34 anos";3380;3396;6776
"De 35 a 39 anos";2842;2895;5737
"De 40 a 44 anos";2148;2293;4441
"De 45 a 49 anos";1609;1679;3288
"De 50 a 54 anos";1245;1254;2499
"De 55 a 59 anos";956;1018;1974
"De 60 a 64 anos";696;673;1369
"De 65 a 69 anos";514;488;1002
"De 70 a 74 anos";355;324;679
"De 75 a 79 anos";203;189;392
"De 80 anos ou mais";161;191;352
"Total";39559;40055;79614
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

