 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 521930 Santa Helena de Goiás
Período:2018
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";1331;1273;2604
"De 5 a 9 anos";1323;1268;2591
"De 10 a 14 anos";1296;1249;2545
"De 15 a 19 anos";1361;1279;2640
"De 20 a 24 anos";1481;1416;2897
"De 25 a 29 anos";1540;1552;3092
"De 30 a 34 anos";1655;1573;3228
"De 35 a 39 anos";1595;1562;3157
"De 40 a 44 anos";1453;1442;2895
"De 45 a 49 anos";1348;1303;2651
"De 50 a 54 anos";1218;1288;2506
"De 55 a 59 anos";1035;1128;2163
"De 60 a 64 anos";832;903;1735
"De 65 a 69 anos";667;694;1361
"De 70 a 74 anos";494;486;980
"De 75 a 79 anos";330;353;683
"De 80 anos ou mais";370;387;757
"Total";19329;19156;38485
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

