 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 521960 Santa Tereza de Goiás
Período:2018
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";123;118;241
"De 5 a 9 anos";115;115;230
"De 10 a 14 anos";103;113;216
"De 15 a 19 anos";101;125;226
"De 20 a 24 anos";110;111;221
"De 25 a 29 anos";102;96;198
"De 30 a 34 anos";112;116;228
"De 35 a 39 anos";143;128;271
"De 40 a 44 anos";124;126;250
"De 45 a 49 anos";106;119;225
"De 50 a 54 anos";113;110;223
"De 55 a 59 anos";104;110;214
"De 60 a 64 anos";89;101;190
"De 65 a 69 anos";77;81;158
"De 70 a 74 anos";67;67;134
"De 75 a 79 anos";49;47;96
"De 80 anos ou mais";54;56;110
"Total";1692;1739;3431
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

