 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 522028 São Patrício
Período:2000
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";86;78;164
"De 5 a 9 anos";85;82;167
"De 10 a 14 anos";80;105;185
"De 15 a 19 anos";86;88;174
"De 20 a 24 anos";84;78;162
"De 25 a 29 anos";72;91;163
"De 30 a 34 anos";74;80;154
"De 35 a 39 anos";88;72;160
"De 40 a 44 anos";69;50;119
"De 45 a 49 anos";47;40;87
"De 50 a 54 anos";46;49;95
"De 55 a 59 anos";45;36;81
"De 60 a 64 anos";36;28;64
"De 65 a 69 anos";25;13;38
"De 70 a 74 anos";18;14;32
"De 75 a 79 anos";13;9;22
"De 80 anos ou mais";7;11;18
"Total";961;924;1885
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

