 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 522045 Senador Canedo
Período:2001
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";3512;3223;6735
"De 5 a 9 anos";3304;3239;6543
"De 10 a 14 anos";3245;3184;6429
"De 15 a 19 anos";3095;3051;6146
"De 20 a 24 anos";2951;2961;5912
"De 25 a 29 anos";2583;2717;5300
"De 30 a 34 anos";2431;2557;4988
"De 35 a 39 anos";2196;2261;4457
"De 40 a 44 anos";1664;1697;3361
"De 45 a 49 anos";1204;1203;2407
"De 50 a 54 anos";832;888;1720
"De 55 a 59 anos";598;653;1251
"De 60 a 64 anos";491;478;969
"De 65 a 69 anos";353;379;732
"De 70 a 74 anos";238;249;487
"De 75 a 79 anos";149;152;301
"De 80 anos ou mais";96;105;201
"Total";28942;28997;57939
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

