 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 522205 Vicentinópolis
Período:2015
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";335;321;656
"De 5 a 9 anos";312;314;626
"De 10 a 14 anos";331;295;626
"De 15 a 19 anos";346;307;653
"De 20 a 24 anos";353;334;687
"De 25 a 29 anos";414;338;752
"De 30 a 34 anos";382;334;716
"De 35 a 39 anos";372;322;694
"De 40 a 44 anos";340;278;618
"De 45 a 49 anos";299;301;600
"De 50 a 54 anos";264;216;480
"De 55 a 59 anos";177;162;339
"De 60 a 64 anos";146;141;287
"De 65 a 69 anos";94;70;164
"De 70 a 74 anos";73;58;131
"De 75 a 79 anos";44;43;87
"De 80 anos ou mais";51;37;88
"Total";4333;3871;8204
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

