 População Residente - Estudo de Estimativas Populacionais por Município, Idade e Sexo 2000-2020 - Brasil
População residente por Faixa Etária 2 e Sexo
Município: 522220 Vila Boa
Período:2004
"Faixa Etária 2";"Masculino";"Feminino";"Total"
"De 0 a 4 anos";242;230;472
"De 5 a 9 anos";229;215;444
"De 10 a 14 anos";221;222;443
"De 15 a 19 anos";238;251;489
"De 20 a 24 anos";250;197;447
"De 25 a 29 anos";203;161;364
"De 30 a 34 anos";137;138;275
"De 35 a 39 anos";118;127;245
"De 40 a 44 anos";121;98;219
"De 45 a 49 anos";87;76;163
"De 50 a 54 anos";72;43;115
"De 55 a 59 anos";54;39;93
"De 60 a 64 anos";42;39;81
"De 65 a 69 anos";36;20;56
"De 70 a 74 anos";22;20;42
"De 75 a 79 anos";13;6;19
"De 80 anos ou mais";10;11;21
"Total";2095;1893;3988
 Fonte:
 
 2000 a 2020 – Estimativas preliminares elaboradas pelo Ministério da Saúde/SVS/DASNT/CGIAE

